Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
12,AVYAN,47.33,917.1,941,917.1,941,941,0,0,928.23,"3,154.00",928.80,"2,927,646.30",66,12.2,23.9,1.31,2.61,1.36,"1,306.80",906.00,
13,BANDIPUR,51.55,820,898.7,820,898.7,898.7,0,0,860.64,"242,983.00",817.00,"209,121,357","4,441",81.7,78.7,10,9.6,4.23,898.7,285,
14,BARUN,36.67,313,318,313,318,318,0,0,316.41,"69,500.00",313.70,"21,990,557.30",312,4.3,5,1.37,1.6,0.5,589,292.1,
15,BBC,37.76,"4,766.00","4,860.00","4,766.00","4,848.00","4,848.00",0,0.00,"4,812.54",332.00,"4,839.00","1,597,763.10",26,9,94,0.19,1.97,0.73,"6,661.60","4,480.00",
16,BEDC,38.28,539,547,530,532,532,0,0,537.90,"24,030.00",532.00,"12,925,654.80",206,0,17,0,3.21,-1.11,"1,080.00",501.00,
17,BFC,39.81,459.8,459.8,451.6,457,457,0,0,455.04,"24,278.00",452.00,"11,047,396.20",123,5,8.2,1.11,1.82,0.43,745.8,411.5,
18,BGWT,34.17,763,775,760,775,775,0,0,765.14,"4,934.00",760.00,"3,775,216.70",51,15,15,1.97,1.97,1.27,"1,241.00",750.00,
19,BHCL,47.41,520,547.7,516.1,546,546,0,0,535.22,"196,474.00",515.00,"105,157,283","2,222",31,31.6,6.02,6.12,1.97,625.7,292.1,
20,BHDC,43.22,470,479.2,470,477.9,477.9,0,0,474.37,"67,331.00",472.00,"31,940,021.60",314,5.9,9.2,1.25,1.96,0.74,760.2,426,
21,BHL,36.27,177.9,178.2,175.5,177.5,177.5,0,0,176.74,"58,747.00",177.00,"10,382,858.00",320,0.5,2.7,0.28,1.54,0.43,405,164,
22,BHPL,42.94,518.1,570.7,518.1,570.7,570.7,0,0,552.46,"171,894.00",518.90,"94,964,125.00","1,036",51.8,52.6,9.98,10.15,3.2,"1,308.40",503.10,
23,BNHC,48.7,442.1,470,442.1,465,465,0,0,456.91,"26,135.00",443.00,"11,941,244.50",211,22,27.9,4.97,6.31,1.74,608,393,
24,BNL,37.07,"16,000.00","16,000.00","16,000.00","16,000.00","16,000.00",0,0.00,"16,000.00",10.00,"16,250.00","160,000.00",1,-250,0,-1.54,0,0.00,"22,500.00","14,900.00",
25,BNT,20.52,"12,037.00","12,037.00","12,037.00","12,037.00","12,037.00",0,0,"12,037.00",20,"11,801.00","240,740",2,236,0,2,0,0,"14,680.00","10,660.00",
26,BOKD86,24.01,"1,117.00","1,117.00","1,117.00","1,117.00","1,117.00",0,0,"1,117.00",50,"1,139.30","55,850",2,-22.3,0,-1.96,0,0,"1,139.30","1,005.50",
27,BPCL,41.63,730,745,726.8,745,745,0,0,738.22,"88,085.00",729.70,"65,026,150.70",320,15.3,18.2,2.1,2.5,0.91,"1,065.00",379.2,
