Transact No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
2026032903018297,LBBL,59,99,490.0,506.9,248381.0
2026032903018296,LBBL,59,45,10.0,506.8,5068.0
2026032903018295,LBBL,98,26,300.0,505.0,151500.0
2026032903018294,KSBBL,1,62,10.0,492.0,4920.0
2026032903018293,GBBL,92,59,918.0,412.2,378399.6
2026032903018292,GBBL,53,59,100.0,412.6,41260.0
2026032903018291,GBBL,14,59,100.0,413.0,41300.0
2026032903018290,GBBL,5,59,188.0,413.0,77644.0
2026032903018289,GBBL,19,59,130.0,413.0,53690.0
2026032903018288,GBBL,19,59,10.0,414.0,4140.0
2026032903018287,GBBL,49,59,10.0,414.0,4140.0
2026032903018286,GBBL,57,59,250.0,414.0,103500.0
2026032903018285,GBBL,41,59,200.0,414.0,82800.0
2026032903018284,GBBL,29,59,60.0,414.1,24846.0
2026032903018283,GBBL,14,59,34.0,414.7,14099.8
2026032903018282,HLI,25,47,70.0,383.2,26824.0
2026032903018281,WNLB,57,36,80.0,1599.0,127920.0
2026032903018280,WNLB,45,36,50.0,1599.0,79950.0
2026032903018279,WNLB,50,36,20.0,1600.0,32000.0
2026032903018278,WNLB,50,36,50.0,1600.0,80000.0
2026032903018277,WNLB,48,36,50.0,1600.0,80000.0
2026032903018276,WNLB,58,36,10.0,1605.0,16050.0
2026032903018275,WNLB,17,36,40.0,1605.1,64204.0
2026032903018274,NMLBBL,14,42,10.0,649.0,6490.0
2026032903018273,FMDBL,34,65,10.0,855.0,8550.0
2026032903018272,NABBC,28,28,10.0,1439.0,14390.0
2026032903018271,SFCL,45,59,10.0,415.0,4150.0
2026032903018270,GFCL,101,34,10.0,672.0,6720.0
2026032903018269,SAPDBL,46,60,100.0,954.5,95450.0
2026032903018268,RSDC,62,17,310.0,728.9,225959.0
2026032903018267,RSDC,62,51,200.0,728.8,145760.0
2026032903018266,RSDC,62,16,59.0,727.0,42893.0
2026032903018265,RSDC,62,42,200.0,725.0,145000.0
2026032903018264,RSDC,62,33,50.0,725.0,36250.0
2026032903018263,RSDC,62,41,100.0,724.0,72400.0
2026032903018262,RSDC,62,45,81.0,723.0,58563.0
2026032903018261,SAPDBL,46,42,1030.0,954.5,983135.0
2026032903018260,MFIL,80,34,10.0,831.0,8310.0
2026032903018259,SHINE,7,58,415.0,427.0,177205.0
2026032903018258,SADBL,33,54,52.0,442.3,22999.600000000002
2026032903018257,SADBL,33,54,30.0,442.0,13260.0
2026032903018256,SADBL,33,43,18.0,441.2,7941.599999999999
2026032903018255,FMDBL,49,65,150.0,855.0,128250.0
2026032903018254,FMDBL,49,65,1000.0,855.0,855000.0
2026032903018253,FMDBL,49,42,200.0,855.0,171000.0
2026032903018252,FMDBL,49,65,150.0,855.0,128250.0
2026032903017889,MFIL,66,55,10.0,829.0,8290.0
2026032903017877,RLFL,7,45,102.0,472.3,48174.6
2026032903017876,MFIL,42,55,50.0,829.0,41450.0
2026032903017875,MFIL,34,55,50.0,829.0,41450.0
2026032903017874,MFIL,49,55,25.0,829.0,20725.0
2026032903017873,MFIL,28,55,20.0,829.0,16580.0
2026032903017872,SKBBL,83,32,25.0,793.0,19825.0
2026032903017382,ALBSL,86,58,46.0,1217.0,55982.0
2026032903017381,ALBSL,74,58,20.0,1218.0,24360.0
2026032903017380,ALBSL,38,58,30.0,1220.0,36600.0
2026032903017379,ALBSL,55,58,15.0,1226.0,18390.0
2026032903017378,SJLIC,35,45,10.0,451.0,4510.0
2026032903017365,GBBL,25,22,70.0,416.0,29120.0
2026032903017238,FMDBL,37,21,110.0,854.0,93940.0
2026032903017237,ALICL,42,38,10.0,474.0,4740.0
2026032903017236,SAPDBL,46,58,56.0,950.0,53200.0
2026032903017235,SAPDBL,46,40,50.0,950.0,47500.0
2026032903017234,MPFL,34,16,211.0,685.0,144535.0
2026032903017233,MPFL,34,22,89.0,685.0,60965.0
2026032903017232,NUBL,63,41,193.0,715.0,137995.0
2026032903017231,NUBL,58,41,59.0,715.1,42190.9
2026032903017230,WNLB,43,36,170.0,1610.0,273700.0
2026032903017225,SMPDA,25,7,29.0,898.0,26042.0
2026032903017224,LBBL,98,41,698.0,505.0,352490.0
2026032903017223,LBBL,58,41,482.0,505.1,243458.2
2026032903017068,PROFL,45,49,100.0,480.0,48000.0
2026032903017067,PROFL,51,49,1000.0,480.0,480000.0
2026032903017066,PROFL,54,49,100.0,480.0,48000.0
2026032903017065,PROFL,51,49,1155.0,480.0,554400.0
2026032903017064,PROFL,42,49,105.0,480.0,50400.0
2026032903017063,PROFL,58,49,50.0,480.0,24000.0
2026032903017062,PROFL,6,49,100.0,480.0,48000.0
2026032903017061,PROFL,35,49,100.0,480.1,48010.0
2026032903017060,LICN,25,6,200.0,865.1,173020.0
2026032903016980,LBBL,58,36,18.0,505.1,9091.800000000001
2026032903016979,JBBL,58,17,1174.0,370.1,434497.4
2026032903016978,RLFL,44,77,200.0,473.0,94600.0
2026032903016977,RLFL,25,77,50.0,473.0,23650.0
2026032903015627,CFCL,45,58,100.0,545.0,54500.0
2026032903015113,SFCL,51,42,100.0,418.1,41810.0
2026032903004521,MLBL,46,45,10.0,390.0,3900.0
2026032901095493,ADBL,50,17,30.0,324.0,9720.0
2026032901095492,ADBL,50,33,200.0,323.0,64600.0
2026032901095491,ADBL,50,1,70.0,323.0,22610.0
2026032901095490,SOHL,71,49,10.0,732.0,7320.0
2026032901095489,NMIC,1,47,10.0,1296.9,12969.0
2026032901095488,DHEL,56,58,10.0,708.0,7080.0
2026032901095487,DHEL,56,49,10.0,708.0,7080.0
2026032901095486,MBL,34,22,255.0,257.1,65560.5
2026032901095485,MBL,21,22,623.0,257.1,160173.30000000002
2026032901095484,MBL,33,22,148.0,257.2,38065.6
2026032901095483,MBL,49,22,20.0,257.3,5146.0
2026032901095482,MBL,66,22,4398.0,257.3,1131605.4000000001
2026032901095481,JHAPA,69,50,140.0,1388.0,194320.0
2026032901095480,NABIL,7,50,10.0,534.1,5341.0
2026032901095479,SAGAR,74,95,56.0,1967.4,110174.40000000001
2026032901095478,SAGAR,58,95,36.0,1968.0,70848.0
2026032901095477,SAGAR,57,95,10.0,1968.0,19680.0
2026032901095476,SAGAR,41,95,10.0,1968.0,19680.0
2026032901095475,SAGAR,46,95,10.0,1970.0,19700.0
2026032901095474,SAGAR,51,95,10.0,1970.0,19700.0
2026032901095473,SAGAR,51,95,10.0,1971.0,19710.0
2026032901095472,SAGAR,29,95,93.0,1971.2,183321.6
2026032901095471,SAGAR,17,95,50.0,1972.0,98600.0
2026032901095470,SAGAR,59,95,40.0,1972.3,78892.0
2026032901095469,SAGAR,32,95,75.0,1994.0,149550.0
2026032901095468,SAIL,33,13,10.0,1321.0,13210.0
2026032901095467,SOHL,71,58,10.0,732.0,7320.0
2026032901095466,CZBIL,96,83,10.0,221.0,2210.0
2026032901095465,HIDCLP,44,51,2000.0,217.7,435400.0
2026032901095464,SOHL,57,6,20.0,732.0,14640.0
2026032901095463,TTL,44,56,50.0,928.0,46400.0
2026032901095462,TTL,26,56,50.0,928.0,46400.0
2026032901095461,TTL,62,56,100.0,928.0,92800.0
2026032901095460,TTL,57,56,29.0,928.0,26912.0
2026032901095459,SOHL,57,55,10.0,732.0,7320.0
2026032901095458,SAIL,34,25,10.0,1332.0,13320.0
2026032901095457,BHCL,48,39,50.0,590.5,29525.0
2026032901095456,HIDCLP,52,97,217.0,217.9,47284.3
2026032901095455,SAIL,80,25,10.0,1332.0,13320.0
2026032901095454,SOHL,58,32,10.0,733.0,7330.0
2026032901095453,SAIL,42,25,10.0,1332.0,13320.0
2026032901095452,CREST,58,51,10.0,1368.0,13680.0
2026032901095264,SOHL,57,53,10.0,732.0,7320.0
2026032901094611,SOHL,6,42,10.0,730.2,7302.0
2026032901094590,SOHL,1,43,10.0,731.0,7310.0
2026032901094589,SOHL,1,45,10.0,730.9,7309.0
2026032901094588,SOHL,1,22,10.0,730.5,7305.0
2026032901094587,SOHL,1,57,10.0,730.5,7305.0
2026032901094586,SOHL,1,58,10.0,730.3,7303.0
2026032901094585,CSY,51,58,100.0,9.6,960.0
2026032901094584,SOHL,6,25,10.0,730.2,7302.0
2026032901094583,PRVU,17,45,148.0,214.8,31790.4
2026032901094582,NIMB,50,13,177.0,215.0,38055.0
2026032901094581,NIMB,1,13,434.0,215.1,93353.4
2026032901094580,SOHL,6,58,10.0,730.2,7302.0
2026032901094579,KBL,58,49,769.0,232.2,178561.8
2026032901093664,SOHL,43,54,10.0,730.0,7300.0
2026032901093663,SOHL,43,42,10.0,730.0,7300.0
2026032901093662,SOHL,43,22,10.0,730.0,7300.0
2026032901093661,NIMB,13,57,80.0,216.0,17280.0
2026032901093660,SOHL,43,45,10.0,730.0,7300.0
2026032901093659,SOHL,43,13,10.0,730.0,7300.0
2026032901093658,SOHL,43,57,10.0,730.0,7300.0
2026032901093657,TTL,25,75,56.0,932.0,52192.0
2026032901093656,TTL,45,75,200.0,932.0,186400.0
2026032901093655,TTL,47,75,144.0,932.0,134208.0
2026032901093654,SOHL,43,49,10.0,730.0,7300.0
2026032901093653,SOHL,43,17,10.0,730.0,7300.0
2026032901093270,SOHL,57,10,10.0,725.0,7250.0
2026032901093269,SOHL,57,58,10.0,725.0,7250.0
2026032901093268,SOHL,57,58,10.0,725.0,7250.0
2026032901092936,KBL,16,43,190.0,232.4,44156.0
2026032901092935,CITY,4,58,12.0,495.0,5940.0
2026032901092934,CITY,4,42,18.0,494.0,8892.0
2026032901092933,SOHL,57,42,20.0,724.1,14482.0
2026032901092932,SOHL,57,58,10.0,724.1,7241.0
2026032901092931,NMIC,14,50,60.0,1280.0,76800.0
2026032901092930,SABBL,58,14,20.0,1622.3,32446.0
2026032901092929,SABBL,58,6,10.0,1622.2,16222.0
2026032901092928,SABBL,58,35,10.0,1622.2,16222.0
2026032901092919,SOHL,35,51,10.0,725.0,7250.0
2026032901092918,SOHL,35,3,10.0,725.0,7250.0
2026032901092917,SOHL,35,58,10.0,725.0,7250.0
2026032901092916,SOHL,35,34,10.0,725.0,7250.0
